1, 0.14, 0.29
2, 0.14, 0.17
3, 0.17, 0.24
4, 0.22, 0.24
5, 0.11, 0
6, 0.17, 0.24
7, 0.14, 0.17
8, 0.17, 0
9, 0.11, 0.24
10, 0.19, 0.17
11, 0.17, 0.24
12, 0.25, 0.17
13, 0.28, 0.24
14, 0.17, 0.24
15, 0.28, 0.24
16, 0.19, 0.29
17, 0.14, 0.17
18, 0.22, 0
19, 0.22, 0.33
20, 0.22, 0.24
21, 0.19, 0.17
22, 0.22, 0
23, 0.33, 0.24
24, 0.17, 0.24
25, 0.19, 0.29
26, 0.06, 0
27, 0.17, 0.24
28, 0.19, 0.17
29, 0.17, 0
30, 0.19, 0.17
31, 0.19, 0.17
32, 0.19, 0.17
33, 0.22, 0.33
34, 0.17, 0
35, 0.28, 0.24
36, 0.11, 0
37, 0.22, 0
38, 0.14, 0.17
39, 0.19, 0.17
40, 0.17, 0.24
41, 0.22, 0
42, 0.19, 0.29
43, 0.25, 0.29
44, 0.11, 0.24
45, 0.17, 0.24
46, 0.19, 0.17
47, 0.19, 0.29
48, 0.17, 0.24
49, 0.22, 0.24
50, 0.22, 0
51, 0.11, 0.24
52, 0.11, 0
53, 0.14, 0.29
54, 0.14, 0.17
55, 0.17, 0.24
56, 0.08, 0.17
57, 0.14, 0.17
58, 0.19, 0.29
59, 0.25, 0.29
60, 0.03, 0.17
61, 0.11, 0.24
62, 0.14, 0.29
63, 0.22, 0.33
64, 0.17, 0.24
65, 0.25, 0.29
66, 0.31, 0.17
67, 0.31, 0.17
68, 0.22, 0.24
69, 0.11, 0
70, 0.22, 0.24
71, 0.22, 0
72, 0.17, 0.24
73, 0.17, 0
74, 0.14, 0.17
75, 0.31, 0.29
76, 0.11, 0
77, 0.22, 0
78, 0.17, 0.24
79, 0.17, 0
80, 0.22, 0
81, 0.17, 0.33
82, 0.22, 0.24
83, 0.14, 0.17
84, 0.11, 0
85, 0.22, 0.24
86, 0.19, 0.17
87, 0.31, 0.17
88, 0.22, 0
89, 0.22, 0
90, 0.22, 0
91, 0.28, 0.33
92, 0.11, 0
93, 0.22, 0
94, 0.31, 0.17
95, 0.19, 0.17
96, 0.19, 0.29
97, 0.33, 0
98, 0.11, 0.24
99, 0.22, 0.24
100, 0.22, 0
101, 0.14, 0.29
102, 0.36, 0.17
103, 0.17, 0
104, 0.14, 0.29
105, 0.28, 0
106, 0.19, 0.29
107, 0.17, 0
108, 0.22, 0
109, 0.28, 0
110, 0.22, 0.24
111, 0.22, 0.24
112, 0.14, 0.17
113, 0.19, 0.17
114, 0.19, 0.17
115, 0.17, 0
116, 0.08, 0.17
