1, 0.25, 0.29
2, 0.31, 0.29
3, 0.17, 0
4, 0.08, 0.29
5, 0.28, 0.24
6, 0.17, 0
7, 0.22, 0
8, 0.17, 0.24
9, 0.22, 0
10, 0.14, 0.29
11, 0.14, 0.29
12, 0.19, 0.29
13, 0.17, 0.33
14, 0.28, 0.24
15, 0.22, 0.24
16, 0.11, 0.24
17, 0.08, 0.17
18, 0.25, 0.17
19, 0.11, 0
20, 0.17, 0.24
21, 0.22, 0.33
22, 0.19, 0.17
23, 0.19, 0.29
24, 0.14, 0.17
25, 0.17, 0.24
26, 0.17, 0.24
27, 0.08, 0.17
28, 0.28, 0.24
29, 0.17, 0
30, 0.17, 0.41
31, 0.19, 0.17
32, 0.33, 0.24
33, 0.28, 0.24
34, 0.19, 0.29
35, 0.22, 0.33
36, 0.33, 0.33
37, 0.22, 0
38, 0.19, 0.17
39, 0.25, 0.17
40, 0.14, 0.29
41, 0.25, 0.29
42, 0.17, 0
43, 0.25, 0.37
44, 0.11, 0.24
45, 0.17, 0.33
46, 0.17, 0
47, 0.17, 0
48, 0.19, 0.29
49, 0.28, 0
50, 0.14, 0.17
51, 0.17, 0
52, 0.22, 0
53, 0.14, 0.17
54, 0.17, 0
55, 0.14, 0.29
56, 0.08, 0.17
57, 0.06, 0.24
58, 0.25, 0.17
59, 0.25, 0.17
60, 0.14, 0.29
61, 0.36, 0.17
62, 0.25, 0.37
63, 0.14, 0.29
64, 0.14, 0.17
65, 0.17, 0.24
66, 0.17, 0.24
67, 0.14, 0.17
68, 0.19, 0.17
69, 0.19, 0.29
70, 0.25, 0.17
71, 0.14, 0.17
72, 0.14, 0.17
73, 0.25, 0.17
74, 0.22, 0.24
75, 0.08, 0.17
76, 0.14, 0.29
77, 0.14, 0.17
78, 0.19, 0.17
79, 0.22, 0.33
80, 0.11, 0
81, 0.11, 0.24
82, 0.17, 0
83, 0.17, 0
84, 0.31, 0.17
85, 0.19, 0.17
86, 0.17, 0
87, 0.17, 0.24
88, 0.19, 0.29
89, 0.22, 0.24
90, 0.22, 0
91, 0.14, 0.17
92, 0.22, 0.33
93, 0.19, 0.17
94, 0.11, 0.24
95, 0.11, 0.24
96, 0.22, 0.24
97, 0.17, 0
98, 0.17, 0.24
99, 0.22, 0.24
100, 0.14, 0.17
101, 0.19, 0.29
102, 0.17, 0.24
103, 0.11, 0
104, 0.22, 0.24
105, 0.17, 0
106, 0.08, 0.17
107, 0.19, 0.29
108, 0.19, 0.17
109, 0.19, 0.17
110, 0.22, 0.24
111, 0.22, 0
112, 0.14, 0.17
113, 0.14, 0.17
114, 0.08, 0.17
115, 0.17, 0.24
116, 0.31, 0.29
